,IssueID,Runid,Edition,IssueDate,isTrain,Main.Suppl,No.Of.Books,Machine,Folder,Print.Order,Gross.Counter,Waste,Avg.Speed,TotalPages,ColorPages,BWPages,BroadSheets,Tabloids,Total.Run.time..Mnts.,Total.Downtime,Number.of.stoppages,W.b.s,Products,Production.Start,Production.End,BookID,Balloon.Folder,Change.Over.Time..Sec.,Change.Over.Type,numBookId,numFails,1/2 Flap,1/2 Flap with Glue,AD Stick,Bookmark,Center Butterfly Flap with Gluing,Center Horizontal Flap in Tabloid,Custom size flap,Fragrance in Newspaper,French Window,French Window with Gluing (Slitting),French Window with Perforation,Front page  Gate Fold with gluing,Full Page Jacket,Full Page with gluing,GLUED HALF FLAP,INTERLOCKING  XL FLAP,Plow Reverse Gate Fold,Power Jacket (GNP),Power Jacket (SNP),Power Jacket With Seamless Panorama,Power jacket with Centrespread,Power jacket with Centrespread Panorama,Reverse Flap,Seamless Panorama,Seamless Panorama  in Tabloid,Spine advt innovation,Super Panorama with Gluing,Super panorama,Times Bookmark,Vertical Perforation,Vertical flap,XXL Innovation,XXXL  Panorama,DOUBLE PANORAMA,GNP.Jacket,dow,startHour,endHour,Product.Type,pullout,integrated,Twin.Folder
1,189475,113477,TOIN_0MP_1_010416,01-04-2016,1,main,2,Colorman-A,Press 1,19270,20612,1342,58891,26,26,0,26,0,21,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES,22:46,23:07,234553,0,4080,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,23,>,1,0,0
2,189476,113480,MTNK_0MP_1_010416,01-04-2016,1,main,2,Colorman-A,Press 1,39630,40374,744,73407,20,20,0,20,0,33,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,23:36,00:09,234555,0,3720,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,>,1,0,0
3,189524,113482,MTMT_0MP_1_010416,01-04-2016,1,main,1,Colorman-B,Press 4,37000,37742,742,73049,14,14,0,14,0,31,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),23:46,00:17,234608,0,7020,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,23,0,>,0,0,0
4,189526,113466,MTMT_0MP_1_010416,01-04-2016,1,main,1,Colorman-B,Press 3,108370,110108,1738,132129,14,14,0,14,0,50,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),23:28,00:18,234610,0,75960,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,23,0,>||>,0,0,1
5,189536,1.61E+11,TOIT_0MP_1_010416,01-04-2016,1,main,1,Colorman-B,Press 3,60870,62804,1934,114189,30,30,0,30,0,33,0,0,0,THE TIMES OF INDIA - THANE CITY,04:22,04:55,234621,0,6300,>||>to>||>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,4,>||>,0,0,1
6,189544,189529,TOIM_0MP_1_010416,01-04-2016,1,main,1,Colorman-B,Press 3,146730,150254,3524,125211,30,30,0,30,0,72,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),01:11,02:23,234629,0,7500,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,>||>,0,0,1
7,189545,189489,MMIR_0MP_1_010416,01-04-2016,1,main,1,Colorman-A,Press 1,282310,283456,1146,80223,22,44,0,0,44,212,0,0,0,MUMBAI MIRROR,00:34,04:06,234630,0,14220,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,>,0,0,0
8,189547,189532,TOIV_0MP_1_010416,01-04-2016,1,main,1,Colorman-B,Press 3,71910,73172,1262,129127,30,30,0,30,0,34,0,0,0,TIMES OF INDIA NAVI MUMBAI,02:36,03:10,234632,0,2820,>||>to>||>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,>||>,0,0,1
9,189718,113521,TOIN_0MP_1_020416,02-04-2016,1,main,3,Colorman-A,Press 1,19710,20328,618,58080,30,30,0,30,0,21,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+PROPERTY PLUS - NASHIK+NASHIK TIMES,23:00,23:21,234848,0,5220,Fresh Start,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,23,>,1,0,0
10,189721,113522,MTNK_0MP_1_020416,02-04-2016,1,main,2,Colorman-A,Press 1,39500,40126,626,75236,20,20,0,20,0,32,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,23:41,00:13,234854,0,3120,>to>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,>,1,0,0
